Designator,Mid X,Mid Y,Rotation,Layer
A1,511.76,-72.28,270.0,bottom
D1,324.0,-73.0,0.0,top
D10,352.0,-101.0,0.0,top
D11,380.0,-101.0,0.0,top
D12,408.0,-101.0,0.0,top
D13,436.0,-101.0,0.0,top
D14,464.0,-101.0,0.0,top
D15,492.0,-101.0,0.0,top
D16,520.0,-101.0,0.0,top
D17,324.0,-129.0,0.0,top
D18,352.0,-129.0,0.0,top
D19,380.0,-129.0,0.0,top
D2,352.0,-73.0,0.0,top
D20,408.0,-129.0,0.0,top
D21,436.0,-129.0,0.0,top
D22,464.0,-129.0,0.0,top
D23,492.0,-129.0,0.0,top
D24,520.0,-129.0,0.0,top
D25,324.0,-157.0,0.0,top
D26,352.0,-157.0,0.0,top
D27,380.0,-157.0,0.0,top
D28,408.0,-157.0,0.0,top
D29,436.0,-157.0,0.0,top
D3,380.0,-73.0,0.0,top
D30,464.0,-157.0,0.0,top
D31,492.0,-157.0,0.0,top
D32,520.0,-157.0,0.0,top
D33,324.0,-185.0,0.0,top
D34,352.0,-185.0,0.0,top
D35,380.0,-185.0,0.0,top
D36,408.0,-185.0,0.0,top
D37,436.0,-185.0,0.0,top
D38,464.0,-185.0,0.0,top
D39,492.0,-185.0,0.0,top
D4,408.0,-73.0,0.0,top
D40,520.0,-185.0,0.0,top
D41,324.0,-213.0,0.0,top
D42,352.0,-213.0,0.0,top
D43,380.0,-213.0,0.0,top
D44,408.0,-213.0,0.0,top
D45,436.0,-213.0,0.0,top
D46,464.0,-213.0,0.0,top
D47,492.0,-213.0,0.0,top
D48,520.0,-213.0,0.0,top
D49,324.0,-241.0,0.0,top
D5,436.0,-73.0,0.0,top
D50,352.0,-241.0,0.0,top
D51,380.0,-241.0,0.0,top
D52,408.0,-241.0,0.0,top
D53,436.0,-241.0,0.0,top
D54,464.0,-241.0,0.0,top
D55,492.0,-241.0,0.0,top
D56,520.0,-241.0,0.0,top
D57,324.0,-269.0,0.0,top
D58,352.0,-269.0,0.0,top
D59,380.0,-269.0,0.0,top
D6,464.0,-73.0,0.0,top
D60,408.0,-269.0,0.0,top
D61,436.0,-269.0,0.0,top
D62,464.0,-269.0,0.0,top
D63,492.0,-269.0,0.0,top
D64,520.0,-269.0,0.0,top
D7,492.0,-73.0,0.0,top
D8,520.0,-73.0,0.0,top
D9,324.0,-101.0,0.0,top
J1,510.725,-115.535,270.0,top
R1,410.5,-77.5,0.0,top
R2,413.5875,-96.0,0.0,top
R3,409.4125,-133.5,0.0,top
R4,413.0875,-152.0,0.0,top
R5,410.0,-189.5,0.0,top
R6,413.5,-208.5,0.0,top
R7,410.5,-246.0,0.0,top
R8,413.5,-263.5,0.0,top
U1,324.0625,-68.5,180.0,top
U10,352.0625,-96.5,180.0,top
U11,380.0625,-96.5,180.0,top
U12,408.0625,-96.5,180.0,top
U13,436.0625,-96.5,180.0,top
U14,464.0625,-96.5,180.0,top
U15,492.0625,-96.5,180.0,top
U16,520.0625,-96.5,180.0,top
U17,324.0625,-124.5,180.0,top
U18,352.0625,-124.5,180.0,top
U19,380.0625,-124.5,180.0,top
U2,352.0625,-68.5,180.0,top
U20,408.0625,-124.5,180.0,top
U21,436.0625,-124.5,180.0,top
U22,464.0625,-124.5,180.0,top
U23,492.0625,-124.5,180.0,top
U24,520.0625,-124.5,180.0,top
U25,324.0625,-152.5,180.0,top
U26,352.0625,-152.5,180.0,top
U27,380.0625,-152.5,180.0,top
U28,408.0625,-152.5,180.0,top
U29,436.0625,-152.5,180.0,top
U3,380.0625,-68.5,180.0,top
U30,464.0625,-152.5,180.0,top
U31,492.0625,-152.5,180.0,top
U32,520.0625,-152.5,180.0,top
U33,324.0625,-180.5,180.0,top
U34,352.0625,-180.5,180.0,top
U35,380.0625,-180.5,180.0,top
U36,408.0625,-180.5,180.0,top
U37,436.0625,-180.5,180.0,top
U38,464.0625,-180.5,180.0,top
U39,492.0625,-180.5,180.0,top
U4,408.0625,-68.5,180.0,top
U40,520.0625,-180.5,180.0,top
U41,324.0625,-208.5,180.0,top
U42,352.0625,-208.5,180.0,top
U43,380.0625,-208.5,180.0,top
U44,408.0625,-208.5,180.0,top
U45,436.0625,-208.5,180.0,top
U46,464.0625,-208.5,180.0,top
U47,492.0625,-208.5,180.0,top
U48,520.0625,-208.5,180.0,top
U49,324.0625,-236.5,180.0,top
U5,436.0625,-68.5,180.0,top
U50,352.0625,-236.5,180.0,top
U51,380.0625,-236.5,180.0,top
U52,408.0625,-236.5,180.0,top
U53,436.0625,-236.5,180.0,top
U54,464.0625,-236.5,180.0,top
U55,492.0625,-236.5,180.0,top
U56,520.0625,-236.5,180.0,top
U57,324.0625,-264.5,180.0,top
U58,352.0625,-264.5,180.0,top
U59,380.0625,-264.5,180.0,top
U6,464.0625,-68.5,180.0,top
U60,408.0625,-264.5,180.0,top
U61,436.0625,-264.5,180.0,top
U62,464.0625,-264.5,180.0,top
U63,492.0625,-264.5,180.0,top
U64,520.0625,-264.5,180.0,top
U65,435.015,-87.01,270.0,bottom
U7,492.0625,-68.5,180.0,top
U8,520.0625,-68.5,180.0,top
U9,324.0625,-96.5,180.0,top
